MiniLab	10-Dec-12	5:19:44 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16459.861	23.940	105.142	568.238	563.108	573.720	0.384	56.987	56.680	6.195	0.507	13.631	50093.726	0.993
16460.076	23.943	105.160	568.534	563.129	573.632	0.372	56.956	56.642	6.184	0.501	13.631	50096.756	0.823
16460.285	23.939	105.088	567.421	563.153	574.100	0.388	56.976	56.684	6.161	0.509	13.634	50093.060	0.906
16460.485	23.939	105.129	568.368	563.208	573.488	0.386	56.992	56.677	6.219	0.507	13.650	50086.579	1.821
16460.685	23.911	105.121	568.439	563.275	573.728	0.387	56.954	56.601	6.196	0.501	13.623	50086.290	1.871
16460.887	23.912	105.044	568.624	563.375	573.256	0.384	56.871	56.573	6.237	0.511	13.631	50064.029	1.810
16461.087	23.955	105.126	568.603	563.409	573.675	0.377	56.935	56.652	6.260	0.510	13.636	50063.999	1.953
16461.300	23.937	105.130	568.670	563.435	573.580	0.380	56.946	56.707	6.238	0.507	13.638	50063.925	2.167
16461.500	23.967	105.121	568.455	563.453	573.193	0.382	56.935	56.600	6.179	0.501	13.627	50061.545	2.238
16461.700	23.980	105.129	568.883	563.428	573.929	0.384	56.833	56.465	6.308	0.504	13.620	50061.871	1.772
16461.941	23.962	105.135	569.015	563.156	573.563	0.380	56.875	56.589	6.219	0.507	13.657	50059.542	1.684
16462.146	23.967	105.060	568.477	563.023	573.755	0.370	56.874	56.537	6.230	0.509	13.631	50059.602	2.128
16462.355	23.951	105.061	567.875	562.879	573.271	0.380	56.865	56.622	6.171	0.516	13.646	50059.335	2.260
16462.555	23.946	105.020	568.228	562.832	574.095	0.383	56.884	56.614	6.197	0.502	13.628	50060.311	1.860
16462.755	23.965	105.057	568.424	562.884	574.000	0.374	56.897	56.651	6.227	0.507	13.624	50058.219	1.487
16462.959	23.932	104.981	568.464	562.957	573.366	0.372	56.982	56.668	6.194	0.511	13.639	50063.364	1.893
16463.166	23.943	104.966	567.898	563.046	573.889	0.394	57.031	56.702	6.299	0.501	13.615	50063.534	1.843
16463.366	23.949	105.041	568.133	563.109	574.391	0.388	56.983	56.655	6.286	0.518	13.615	50064.472	1.882
16463.567	23.958	104.988	568.096	563.066	573.804	0.390	57.056	56.741	6.231	0.503	13.625	50068.338	1.553
16463.770	23.950	104.990	568.217	563.045	573.797	0.403	56.992	56.698	6.236	0.506	13.628	50070.119	1.487
16463.976	23.954	104.966	568.349	563.141	573.767	0.378	57.021	56.733	6.221	0.510	13.621	50071.693	1.388
16464.185	23.965	105.011	568.508	563.229	573.876	0.381	57.029	56.692	6.219	0.504	13.615	50073.083	1.350
16464.385	23.990	104.964	568.562	563.259	573.981	0.383	57.011	56.707	6.256	0.508	13.633	50073.851	1.262
16464.585	23.983	104.971	568.974	563.261	573.960	0.375	57.087	56.780	6.288	0.504	13.653	50078.618	0.758
16464.789	23.983	104.953	568.321	563.246	573.865	0.383	57.014	56.765	6.250	0.509	13.646	50077.865	1.070
16464.996	23.976	104.912	569.079	563.220	574.281	0.380	57.053	56.746	6.234	0.508	13.613	50079.084	1.081
16465.204	23.970	104.888	568.911	563.299	573.783	0.387	57.063	56.728	6.251	0.511	13.653	50082.373	1.586
16465.404	23.968	104.938	569.424	563.395	573.746	0.383	57.003	56.683	6.249	0.503	13.607	50084.346	0.593
16465.621	23.972	104.903	568.621	563.374	574.266	0.379	57.009	56.666	6.237	0.502	13.633	50089.661	1.120
16465.821	23.984	104.957	568.660	563.250	574.138	0.381	57.021	56.686	6.237	0.505	13.621	50087.842	1.306
16466.021	24.004	104.966	570.025	563.275	573.683	0.390	57.003	56.703	6.170	0.504	13.629	50088.456	1.931
16466.227	23.998	104.971	569.032	563.424	574.205	0.384	57.054	56.729	6.218	0.513	13.633	50105.026	1.728
16466.435	24.001	104.939	568.559	563.563	573.997	0.376	57.020	56.695	6.268	0.505	13.623	50104.310	1.936
16466.635	23.987	104.892	569.328	563.648	573.353	0.377	57.116	56.776	6.198	0.503	13.630	50110.400	1.152
16466.835	23.963	104.870	569.840	563.769	573.821	0.376	57.088	56.747	6.218	0.528	13.630	50110.636	2.145
16467.039	23.971	104.907	569.573	563.886	573.663	0.370	57.112	56.764	6.244	0.506	13.630	50109.882	2.386
16467.247	23.961	104.897	568.943	563.899	573.256	0.380	57.100	56.811	6.189	0.516	13.625	50112.780	2.397
16467.455	23.956	104.890	569.440	563.964	573.324	0.380	57.081	56.753	6.194	0.508	13.642	50113.474	2.233
16467.655	23.938	104.822	569.431	564.053	573.795	0.378	57.117	56.800	6.261	0.500	13.617	50116.076	1.564
16467.855	23.932	104.794	569.340	564.105	573.671	0.381	57.038	56.700	6.189	0.506	13.611	50117.539	1.827
16468.058	23.953	104.814	569.745	564.110	573.420	0.388	57.068	56.715	6.245	0.512	13.637	50115.071	1.580
16468.265	23.935	104.810	568.956	564.075	573.013	0.382	57.065	56.709	6.288	0.502	13.640	50116.579	1.311
16468.475	23.984	104.820	569.314	563.931	573.239	0.381	57.028	56.683	6.216	0.500	13.628	50115.019	1.662
16468.675	23.973	104.820	569.388	563.932	573.794	0.380	56.991	56.634	6.216	0.507	13.634	50114.162	1.498
16468.875	23.955	104.843	569.181	563.943	574.077	0.382	57.037	56.719	6.218	0.511	13.641	50110.917	1.317
16469.078	23.973	104.828	569.637	563.856	573.551	0.382	57.060	56.740	6.244	0.499	13.638	50110.777	1.597
16469.286	23.949	104.823	569.230	563.690	573.404	0.381	57.026	56.697	6.222	0.513	13.654	50104.967	1.158
16469.495	23.962	104.831	568.954	563.670	573.301	0.377	57.040	56.665	6.183	0.504	13.628	50106.726	1.454
16469.705	23.983	104.803	568.757	563.579	573.834	0.385	56.922	56.656	6.205	0.516	13.635	50104.236	1.257
16469.911	23.987	104.790	568.112	563.469	573.331	0.379	57.037	56.774	6.223	0.501	13.641	50096.800	1.635
16470.124	23.979	104.783	568.944	563.487	573.891	0.385	57.004	56.691	6.207	0.508	13.622	50098.323	1.734
16470.334	24.001	104.777	568.742	563.406	573.256	0.384	57.006	56.687	6.250	0.509	13.629	50091.035	2.775
16470.545	24.012	104.805	568.144	563.380	573.604	0.380	56.906	56.630	6.243	0.499	13.632	50092.403	2.989
16470.751	23.974	104.750	568.422	563.246	573.539	0.386	56.867	56.556	6.228	0.513	13.631	50090.148	1.997
16470.964	23.974	104.790	567.673	563.058	573.709	0.375	56.914	56.611	6.213	0.500	13.630	50085.403	2.518
16471.175	23.985	104.754	568.415	562.958	573.639	0.384	56.958	56.620	6.224	0.509	13.622	50085.751	1.920
16471.385	23.975	104.712	568.065	562.865	573.847	0.375	56.918	56.573	6.212	0.513	13.642	50068.500	1.706
16471.594	23.992	104.759	568.057	562.864	573.475	0.381	56.953	56.670	6.233	0.503	13.620	50068.929	2.611
16471.805	24.001	104.726	567.829	562.717	573.914	0.386	56.977	56.670	6.242	0.504	13.610	50070.067	2.885
16472.016	23.951	104.653	567.985	562.721	573.956	0.386	56.928	56.656	6.203	0.515	13.601	50069.432	1.958
16472.226	23.977	104.718	568.514	562.617	573.438	0.386	56.863	56.528	6.191	0.498	13.627	50069.742	1.854
16472.435	23.977	104.685	568.309	562.664	574.020	0.378	56.950	56.597	6.223	0.510	13.617	50069.838	2.320
16472.636	23.956	104.714	568.240	562.622	573.247	0.372	56.905	56.648	6.217	0.500	13.639	50069.476	1.821
16472.836	24.000	104.704	568.362	562.584	573.542	0.382	56.978	56.704	6.290	0.496	13.626	50069.794	1.986
16473.039	23.980	104.690	568.249	562.569	573.525	0.381	56.955	56.648	6.220	0.509	13.607	50066.202	1.618
16473.246	23.960	104.682	567.805	562.462	573.406	0.385	56.925	56.658	6.174	0.511	13.637	50065.810	0.950
16473.455	23.982	104.710	568.291	562.448	573.721	0.377	56.935	56.642	6.235	0.502	13.641	50066.143	1.558
16473.661	23.978	104.691	568.721	562.542	573.729	0.369	56.992	56.652	6.227	0.505	13.620	50066.431	1.147
16473.874	23.979	104.653	569.005	562.647	573.568	0.379	56.922	56.596	6.197	0.505	13.620	50064.753	1.514
16474.080	23.970	104.637	568.223	562.647	573.613	0.375	56.912	56.623	6.255	0.497	13.638	50065.522	1.602
16474.291	23.993	104.635	569.238	562.539	573.039	0.372	56.958	56.668	6.266	0.505	13.612	50065.426	1.761
16474.503	23.967	104.685	568.587	562.439	573.461	0.379	56.980	56.652	6.202	0.505	13.621	50069.557	1.767
16474.703	23.957	104.632	568.810	562.393	573.453	0.380	56.984	56.718	6.218	0.498	13.631	50069.047	1.279
16474.904	23.989	104.633	568.562	562.378	574.411	0.397	56.990	56.637	6.224	0.506	13.624	50068.500	1.695
16475.127	24.004	104.660	568.834	562.344	573.733	0.388	56.877	56.636	6.224	0.509	13.617	50071.834	1.602
16475.340	23.986	104.649	568.610	562.431	573.570	0.392	56.943	56.573	6.217	0.512	13.650	50071.915	0.993
16475.540	24.017	104.605	568.995	562.508	573.765	0.383	56.980	56.694	6.194	0.510	13.632	50073.733	1.306
16475.758	24.006	104.618	568.631	562.581	574.256	0.389	56.999	56.633	6.221	0.493	13.641	50074.398	1.586
16475.972	24.028	104.584	569.283	562.542	573.791	0.390	56.895	56.619	6.273	0.503	13.634	50072.794	1.553
16476.172	24.023	104.590	568.767	562.552	573.985	0.390	56.911	56.611	6.195	0.509	13.627	50076.453	1.865
16476.387	24.003	104.597	568.430	562.464	574.061	0.384	56.946	56.589	6.220	0.514	13.620	50077.451	2.490
16476.587	24.013	104.571	568.310	562.378	573.772	0.389	57.010	56.663	6.247	0.504	13.619	50079.498	2.370
16476.809	24.035	104.568	568.677	562.260	573.962	0.389	56.952	56.619	6.249	0.502	13.627	50078.899	1.920
16477.009	24.012	104.613	568.486	562.202	573.763	0.387	56.990	56.618	6.184	0.503	13.627	50081.154	1.728
16477.210	24.010	104.623	568.625	562.284	573.313	0.393	57.030	56.706	6.199	0.515	13.621	50082.159	1.777
16477.417	24.030	104.613	569.251	562.318	573.867	0.392	57.008	56.635	6.195	0.510	13.624	50082.299	1.783
16477.623	24.028	104.639	568.796	562.343	573.506	0.387	56.979	56.679	6.202	0.506	13.613	50082.565	1.728
16477.823	24.039	104.570	568.703	562.321	574.196	0.395	56.974	56.629	6.193	0.507	13.617	50082.772	2.342
16478.037	24.046	104.646	568.401	562.360	573.747	0.384	56.902	56.563	6.188	0.513	13.610	50083.652	1.816
16478.238	24.070	104.594	567.446	562.316	573.616	0.375	56.958	56.649	6.325	0.506	13.633	50081.737	2.117
16478.440	24.048	104.558	568.011	562.197	573.772	0.387	56.893	56.549	6.240	0.511	13.643	50082.344	2.030
16478.646	24.024	104.546	567.490	562.084	572.990	0.386	56.915	56.625	6.224	0.497	13.640	50081.597	2.852
16478.852	24.014	104.520	567.328	561.902	573.441	0.380	56.902	56.562	6.247	0.506	13.650	50082.255	2.512
16479.062	24.013	104.548	567.868	561.856	573.878	0.384	56.970	56.623	6.237	0.502	13.646	50081.797	2.364
16479.269	24.038	104.527	567.161	561.828	573.969	0.385	56.865	56.546	6.241	0.501	13.632	50079.661	1.608
16479.470	24.034	104.557	567.708	561.780	573.660	0.381	56.906	56.582	6.239	0.496	13.645	50082.809	1.810
16479.671	24.033	104.531	567.342	561.722	573.470	0.385	56.949	56.613	6.246	0.497	13.631	50081.205	2.150
16479.878	24.042	104.593	567.371	561.780	573.714	0.378	56.994	56.633	6.251	0.507	13.612	50081.442	1.454
16480.087	24.033	104.536	567.898	561.886	573.830	0.382	57.006	56.614	6.235	0.514	13.628	50081.819	2.156
16480.291	24.060	104.531	567.932	561.869	573.584	0.379	56.961	56.632	6.155	0.501	13.619	50086.859	1.059
16480.491	24.037	104.584	567.907	561.987	573.436	0.378	57.037	56.693	6.280	0.506	13.641	50084.583	2.068
16480.691	24.046	104.531	567.038	562.087	573.479	0.377	56.996	56.601	6.198	0.513	13.607	50083.075	2.002
16480.897	24.040	104.475	567.430	562.025	573.581	0.374	57.009	56.664	6.253	0.501	13.636	50087.761	1.366
16481.107	24.037	104.491	567.271	561.922	573.675	0.388	56.990	56.714	6.228	0.507	13.629	50090.089	1.098
16481.316	24.020	104.498	567.485	561.879	573.489	0.384	57.069	56.728	6.209	0.499	13.640	50090.333	1.279
16481.526	23.988	104.500	566.868	561.939	573.147	0.393	57.000	56.645	6.228	0.503	13.637	50090.281	1.257
16481.731	24.045	104.494	567.333	561.830	573.514	0.400	56.940	56.618	6.229	0.502	13.626	50089.845	1.503
16481.941	24.043	104.523	568.048	561.806	573.441	0.398	56.985	56.677	6.217	0.505	13.633	50091.006	1.333
16482.142	24.065	104.508	567.860	561.773	573.239	0.387	57.037	56.691	6.254	0.512	13.623	50090.296	1.591
16482.358	24.046	104.494	567.154	561.798	573.362	0.391	57.110	56.717	6.162	0.508	13.635	50093.763	1.750
16482.558	24.066	104.512	567.416	561.831	573.712	0.385	57.055	56.701	6.239	0.509	13.637	50094.775	1.767
16482.779	24.064	104.494	567.557	561.848	573.444	0.377	57.040	56.649	6.240	0.501	13.613	50092.831	2.156
16482.979	24.069	104.506	567.920	561.872	572.911	0.381	57.075	56.731	6.251	0.503	13.649	50094.613	1.449
16483.181	24.024	104.490	567.264	561.889	573.799	0.394	57.035	56.705	6.220	0.497	13.627	50094.605	1.032
16483.389	24.054	104.499	567.764	561.884	573.790	0.396	57.025	56.645	6.302	0.504	13.615	50093.689	1.218
16483.598	24.047	104.491	567.379	561.897	573.632	0.386	57.040	56.692	6.183	0.507	13.618	50094.125	1.602
16483.800	24.036	104.481	567.336	561.883	572.964	0.384	56.980	56.693	6.268	0.504	13.604	50094.176	1.328
16484.012	24.060	104.494	567.518	562.008	573.199	0.386	56.994	56.626	6.260	0.509	13.617	50094.073	1.300
16484.212	24.070	104.496	567.412	562.011	573.393	0.380	57.067	56.755	6.264	0.505	13.645	50093.977	1.821
16484.412	24.049	104.434	567.690	561.969	573.145	0.376	57.061	56.754	6.187	0.499	13.636	50093.585	2.381
16484.618	24.082	104.473	567.716	562.053	573.559	0.390	57.032	56.658	6.239	0.497	13.627	50090.814	2.589
16484.825	24.105	104.494	567.940	562.089	573.699	0.379	56.991	56.660	6.208	0.510	13.619	50091.050	2.523
