MiniLab	10-Dec-12	5:22:56 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16645.324	25.243	123.083	586.978	568.994	584.487	0.603	81.472	80.737	8.829	0.727	17.419	57505.525	10.819
16645.539	25.229	123.120	586.736	568.993	584.473	0.602	81.417	80.801	8.969	0.732	17.426	57504.926	10.720
16645.750	25.233	123.095	587.108	569.002	584.686	0.590	81.494	80.835	8.889	0.733	17.410	57510.514	10.610
16645.958	25.235	123.126	587.150	569.095	584.862	0.583	81.469	80.833	8.961	0.724	17.414	57510.928	10.572
16646.167	25.230	123.148	587.241	569.039	584.413	0.585	81.499	80.815	8.849	0.743	17.417	57510.595	10.835
16646.367	25.221	123.152	587.890	569.004	584.530	0.565	81.543	80.846	8.914	0.738	17.420	57519.768	11.065
16646.567	25.200	123.168	587.900	568.982	584.545	0.567	81.443	80.803	8.922	0.733	17.425	57519.110	10.490
16646.772	25.212	123.290	587.570	568.983	583.794	0.579	81.578	80.925	8.879	0.731	17.418	57521.054	10.451
16646.978	25.225	123.271	588.161	568.832	584.934	0.584	81.595	80.844	8.921	0.726	17.418	57523.153	10.309
16647.187	25.188	123.233	587.739	568.818	584.503	0.584	81.469	80.771	8.911	0.742	17.428	57522.628	10.742
16647.387	25.205	123.291	588.270	568.657	584.010	0.600	81.463	80.819	8.869	0.744	17.422	57522.510	10.435
16647.587	25.205	123.350	588.296	568.586	584.375	0.594	81.466	80.777	8.855	0.729	17.405	57524.727	10.939
16647.791	25.219	123.373	587.648	568.474	584.553	0.589	81.509	80.756	8.894	0.736	17.429	57522.317	11.032
16647.999	25.212	123.362	588.111	568.406	584.208	0.575	81.400	80.761	8.887	0.731	17.414	57522.864	10.693
16648.210	25.213	123.343	587.501	568.403	584.993	0.592	81.429	80.749	8.896	0.734	17.413	57523.094	10.649
16648.418	25.209	123.401	587.951	568.454	584.375	0.587	81.414	80.738	8.876	0.745	17.431	57519.967	10.819
16648.627	25.236	123.397	587.349	568.395	584.414	0.594	81.397	80.725	8.855	0.738	17.424	57519.487	10.846
16648.836	25.230	123.461	588.404	568.383	585.119	0.583	81.440	80.707	8.866	0.735	17.410	57520.743	10.660
16649.037	25.237	123.482	588.172	568.407	584.767	0.587	81.423	80.656	8.882	0.734	17.424	57520.159	10.884
16649.238	25.183	123.451	588.161	568.513	584.508	0.590	81.367	80.730	8.873	0.727	17.422	57520.418	10.451
