MiniLab	10-Dec-12	5:28:41 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17007.872	29.359	156.343	649.913	618.495	620.930	0.870	113.400	113.046	12.017	0.918	22.141	64909.116	20.260
17008.072	29.362	156.309	649.716	618.385	621.506	0.912	113.477	113.117	11.811	0.914	22.129	64908.156	20.622
17008.272	29.348	156.396	649.633	618.257	621.070	0.877	113.472	113.043	11.869	0.907	22.136	64909.087	20.414
17008.472	29.351	156.356	649.260	618.215	621.194	0.928	113.475	113.113	11.808	0.905	22.138	64905.761	19.958
17008.672	29.364	156.371	648.866	618.150	621.235	0.846	113.390	113.012	11.930	0.903	22.128	64906.005	19.849
17008.873	29.318	156.347	649.308	618.222	620.996	0.903	113.451	113.095	11.857	0.913	22.144	64903.122	20.414
17009.074	29.325	156.401	648.886	618.379	621.045	0.900	113.389	113.039	11.835	0.921	22.141	64901.600	20.074
17009.274	29.329	156.372	648.677	618.436	621.417	0.897	113.361	113.014	11.911	0.913	22.128	64904.113	19.997
17009.475	29.342	156.415	648.787	618.484	620.785	0.833	113.380	113.038	11.774	0.902	22.140	64899.604	20.249
17009.675	29.337	156.414	649.428	618.478	621.202	0.816	113.293	112.983	11.856	0.918	22.135	64900.757	20.414
17009.875	29.352	156.387	648.991	618.457	620.944	0.795	113.404	113.015	11.988	0.911	22.125	64897.890	20.627
17010.075	29.314	156.440	649.821	618.401	621.205	0.875	113.409	113.017	11.886	0.908	22.140	64897.091	20.825
17010.275	29.314	156.407	648.926	618.325	621.124	0.843	113.417	113.071	11.689	0.911	22.140	64897.550	20.381
17010.475	29.328	156.425	649.759	618.351	620.637	0.892	113.446	113.108	11.953	0.913	22.131	64895.022	20.512
17010.678	29.314	156.492	649.714	618.265	620.589	0.885	113.353	112.981	11.730	0.903	22.137	64893.958	20.611
17010.878	29.307	156.472	649.460	618.406	621.183	0.864	113.405	113.051	11.951	0.912	22.137	64895.310	20.792
17011.078	29.322	156.449	649.939	618.461	621.280	0.815	113.495	113.060	11.748	0.904	22.119	64898.858	20.600
17011.279	29.305	156.462	649.469	618.623	620.950	0.884	113.464	113.096	11.971	0.908	22.131	64898.244	20.518
17011.479	29.316	156.469	650.061	618.655	620.977	0.913	113.482	113.164	11.821	0.918	22.140	64899.286	20.490
17011.679	29.312	156.487	649.532	618.701	620.196	0.847	113.318	113.014	11.868	0.913	22.130	64897.734	20.490
17011.880	29.330	156.469	649.970	618.839	621.099	0.877	113.322	112.978	11.804	0.928	22.131	64897.978	20.364
17012.080	29.362	156.558	649.694	618.807	621.207	0.855	113.408	113.027	11.854	0.918	22.141	64898.503	20.556
17012.280	29.374	156.573	650.046	618.693	620.514	0.737	113.484	113.082	11.862	0.924	22.128	64898.813	20.732
17012.480	29.374	156.532	650.069	618.545	620.710	0.791	113.461	113.029	11.945	0.917	22.138	64898.096	20.375
17012.680	29.340	156.529	649.969	618.389	620.661	0.904	113.336	112.907	11.852	0.918	22.139	64899.316	20.567
17012.880	29.376	156.541	650.082	618.352	621.121	0.907	113.443	112.982	11.861	0.917	22.129	64898.281	20.216
17013.080	29.358	156.623	649.690	618.204	620.935	0.915	113.310	112.930	11.751	0.908	22.136	64898.710	20.485
17013.280	29.382	156.607	649.803	618.229	621.006	0.817	113.382	113.040	11.802	0.912	22.137	64899.043	20.671
17013.480	29.368	156.661	649.536	618.098	621.020	0.848	113.405	113.032	11.819	0.920	22.128	64898.215	20.507
17013.680	29.385	156.599	648.525	618.054	620.851	0.772	113.343	112.951	11.879	0.911	22.131	64895.790	20.216
17013.880	29.383	156.641	649.678	617.941	620.458	0.828	113.331	112.981	11.889	0.912	22.136	64894.815	20.403
17014.080	29.429	156.685	649.449	617.944	620.687	0.856	113.380	113.017	11.775	0.917	22.128	64895.014	20.622
17014.280	29.403	156.704	649.492	617.800	620.118	0.791	113.326	113.027	11.849	0.907	22.146	64894.490	20.227
17014.480	29.382	156.722	649.012	617.696	620.676	0.856	113.429	113.028	12.034	0.919	22.141	64897.165	20.096
17014.680	29.412	156.730	649.178	617.617	620.841	0.905	113.369	112.950	11.823	0.928	22.117	64896.086	20.732
17014.880	29.430	156.731	649.069	617.591	620.844	0.869	113.442	113.127	11.876	0.913	22.138	64895.140	20.781
17015.080	29.449	156.779	649.117	617.607	621.144	0.961	113.559	113.099	11.809	0.919	22.140	64897.793	20.693
17015.280	29.436	156.803	649.700	617.671	620.808	0.909	113.449	113.091	11.741	0.917	22.128	64902.391	20.567
17015.480	29.406	156.709	649.091	617.944	620.577	0.897	113.434	113.092	11.792	0.905	22.142	64903.041	20.836
17015.680	29.429	156.865	650.768	618.233	621.262	0.905	113.411	113.076	11.810	0.913	22.140	64904.113	20.331
17015.880	29.391	156.709	649.895	618.485	620.346	0.861	113.422	113.099	11.847	0.921	22.125	64904.039	20.540
17016.080	29.432	156.804	650.573	618.638	620.842	0.901	113.491	113.201	11.899	0.921	22.135	64904.571	20.764
17016.280	29.391	156.797	650.522	618.845	620.300	0.845	113.432	113.077	11.659	0.921	22.135	64909.656	19.816
17016.480	29.385	156.765	651.100	619.161	620.545	0.920	113.537	113.163	11.733	0.910	22.129	64907.720	20.474
17016.680	29.397	156.825	650.782	619.464	619.852	0.894	113.454	113.009	11.790	0.912	22.140	64910.196	20.425
17016.880	29.422	156.906	651.143	619.535	620.681	0.781	113.499	113.146	11.830	0.910	22.138	64913.307	20.688
17017.080	29.420	156.842	650.798	619.460	620.652	0.843	113.462	113.100	11.915	0.907	22.126	64913.041	20.605
17017.280	29.442	156.890	650.411	619.318	620.480	0.918	113.447	113.104	11.858	0.912	22.141	64914.734	20.276
17017.480	29.444	156.877	650.861	619.277	620.681	0.902	113.445	113.074	11.797	0.916	22.137	64915.717	20.249
17017.680	29.422	156.880	651.023	619.134	620.268	0.833	113.515	113.058	11.824	0.923	22.129	64915.347	20.255
17017.880	29.450	156.960	650.428	619.006	620.849	0.864	113.423	113.008	11.797	0.924	22.144	64916.655	20.545
17018.080	29.485	156.946	650.889	618.837	620.635	0.816	113.517	113.059	11.831	0.910	22.137	64917.062	20.951
17018.280	29.453	156.935	650.057	618.749	620.891	0.840	113.513	113.148	11.783	0.930	22.128	64917.712	20.446
17018.483	29.461	156.979	650.247	618.693	620.605	0.868	113.418	113.115	11.847	0.917	22.144	64916.264	20.298
17018.683	29.491	157.011	650.165	618.665	620.486	0.886	113.478	113.076	11.828	0.922	22.142	64914.963	21.061
17018.883	29.497	156.998	650.612	618.672	620.845	0.834	113.436	113.029	11.788	0.925	22.127	64914.704	20.885
17019.084	29.512	157.027	650.158	618.669	620.599	0.881	113.558	113.243	11.818	0.916	22.144	64915.857	20.600
17019.284	29.493	157.062	650.759	618.819	620.949	0.850	113.426	113.073	11.921	0.930	22.139	64916.655	20.337
17019.484	29.522	156.987	650.143	618.758	620.651	0.913	113.444	113.114	11.876	0.922	22.128	64915.524	20.381
17019.684	29.504	157.058	650.149	618.703	619.988	0.890	113.384	113.036	11.753	0.908	22.148	64915.879	21.006
17019.884	29.512	157.081	649.971	618.678	620.584	0.880	113.339	113.072	11.812	0.919	22.135	64916.980	20.644
17020.084	29.520	157.044	650.346	618.711	620.245	0.835	113.449	113.174	11.831	0.924	22.123	64915.443	20.468
17020.284	29.525	157.041	650.757	618.706	620.539	0.889	113.491	113.102	11.870	0.931	22.142	64913.551	20.858
17020.484	29.543	157.083	650.158	618.663	620.737	0.864	113.476	113.111	11.745	0.915	22.141	64914.756	20.551
17020.684	29.546	157.090	650.130	618.720	620.737	0.849	113.417	112.994	11.903	0.920	22.135	64915.961	20.605
17020.884	29.552	157.115	650.428	618.686	620.052	0.858	113.505	113.092	11.848	0.915	22.147	64916.012	20.359
17021.084	29.595	157.189	650.287	618.600	620.357	0.863	113.430	113.096	11.957	0.928	22.130	64916.419	20.419
17021.284	29.571	157.239	650.553	618.457	620.025	0.873	113.477	113.113	11.885	0.912	22.116	64916.323	20.589
17021.485	29.554	157.175	650.564	618.337	619.917	0.880	113.454	113.024	11.849	0.918	22.142	64918.939	20.556
17021.686	29.558	157.197	651.299	618.135	620.847	0.885	113.405	113.092	11.819	0.918	22.135	64918.533	20.551
17021.886	29.586	157.281	650.318	618.021	619.854	0.897	113.521	113.127	11.816	0.924	22.129	64917.786	20.945
17022.086	29.585	157.196	650.049	618.081	620.152	0.804	113.569	113.151	11.940	0.928	22.140	64919.139	20.244
