MiniLab	20-Oct-15	3:25:19 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17881.037	32.899	132.241	667.480	678.456	481.809	0.722	88.659	87.463	9.528	6.835	21.194	60033.051	42.750
17881.237	32.899	132.202	667.379	678.452	481.962	0.708	88.515	87.395	9.393	6.884	21.184	60032.053	43.035
17881.437	32.860	132.277	666.667	678.495	482.541	0.708	88.543	87.358	9.487	6.832	21.187	60036.052	42.114
17881.637	32.808	132.329	667.202	678.514	481.918	0.710	88.563	87.348	9.405	6.886	21.190	60034.788	42.103
17881.840	32.813	132.278	667.260	678.433	481.833	0.712	88.549	87.394	9.528	6.844	21.193	60034.307	42.005
17882.042	32.792	132.247	666.944	678.180	481.652	0.736	88.568	87.378	9.443	6.848	21.198	60032.630	42.767
17882.242	32.785	132.281	666.894	678.148	481.469	0.708	88.560	87.361	9.438	6.840	21.207	60034.514	42.427
17882.442	32.801	132.275	666.683	677.935	481.742	0.704	88.514	87.344	9.473	6.838	21.205	60030.597	43.342
17882.642	32.838	132.332	667.556	678.036	481.856	0.705	88.529	87.283	9.447	6.855	21.204	60033.568	42.789
17882.842	32.783	132.379	667.108	678.097	481.576	0.695	88.467	87.275	9.405	6.850	21.202	60035.246	42.098
17883.044	32.774	132.306	666.922	678.071	481.326	0.715	88.478	87.335	9.427	6.847	21.201	60030.568	42.706
17883.244	32.765	132.332	666.666	678.009	481.447	0.714	88.413	87.206	9.451	6.825	21.197	60032.430	42.383
17883.444	32.809	132.221	667.024	677.858	482.246	0.721	88.386	87.257	9.403	6.806	21.199	60027.670	42.811
17883.644	32.791	132.314	667.222	677.813	481.523	0.729	88.455	87.210	9.423	6.812	21.189	60026.680	42.641
17883.844	32.837	132.373	667.174	677.861	481.627	0.705	88.450	87.327	9.447	6.818	21.195	60028.528	42.087
17884.043	32.776	132.406	667.165	677.796	481.169	0.707	88.403	87.260	9.397	6.832	21.187	60020.930	42.372
17884.243	32.783	132.368	667.208	677.713	481.366	0.713	88.382	87.191	9.467	6.772	21.185	60018.121	42.750
17884.443	32.794	132.249	667.141	677.750	481.563	0.701	88.354	87.117	9.354	6.818	21.193	60017.973	42.904
17884.643	32.742	132.400	667.040	677.757	481.734	0.697	88.368	87.123	9.425	6.814	21.202	60012.098	42.427
17884.843	32.757	132.384	667.659	677.776	481.299	0.694	88.263	87.033	9.439	6.835	21.202	60010.590	42.273
17885.043	32.805	132.436	667.334	677.753	481.330	0.691	88.292	87.154	9.444	6.836	21.197	60008.860	42.684
17885.246	32.782	132.331	666.906	677.845	481.832	0.684	88.301	87.117	9.420	6.808	21.206	60004.270	42.597
17885.450	32.813	132.363	667.232	677.931	481.522	0.700	88.264	87.049	9.435	6.835	21.204	60005.616	42.871
17885.652	32.855	132.491	667.878	678.022	481.806	0.705	88.220	87.048	9.420	6.835	21.216	60003.687	41.813
17885.853	32.894	132.516	667.315	678.020	481.596	0.697	88.324	87.087	9.401	6.819	21.211	60003.088	41.966
17886.053	32.924	132.505	667.207	678.100	481.138	0.697	88.260	87.011	9.420	6.844	21.200	60003.428	42.641
17886.253	32.847	132.402	667.670	678.004	481.496	0.705	88.322	87.113	9.484	6.789	21.202	60005.061	42.641
17886.455	32.838	132.411	667.883	678.026	481.746	0.689	88.238	87.055	9.381	6.766	21.195	60005.120	42.772
