MiniLab	20-Oct-15	4:33:22 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
21969.551	34.838	88.406	626.629	691.420	471.783	0.239	33.658	32.611	3.868	2.757	12.715	40302.334	18.505
21969.751	34.817	88.475	626.459	691.265	472.261	0.235	33.613	32.568	3.867	2.764	12.722	40301.299	18.385
21969.951	34.792	88.484	626.443	691.075	471.787	0.236	33.780	32.706	3.939	2.762	12.719	40316.694	18.154
21970.153	34.791	88.382	626.689	690.937	472.013	0.242	33.552	32.495	3.878	2.735	12.723	40314.263	18.697
21970.354	34.740	88.483	626.304	690.707	472.323	0.239	33.628	32.595	3.896	2.761	12.694	40314.810	18.390
21970.554	34.698	88.468	625.857	690.563	471.896	0.237	33.704	32.649	3.900	2.762	12.727	40317.042	18.609
21970.754	34.717	88.466	626.555	690.511	472.613	0.244	33.614	32.571	3.901	2.739	12.745	40315.808	18.423
21970.954	34.692	88.543	626.077	690.507	472.524	0.247	33.640	32.616	3.890	2.740	12.728	40315.785	18.577
21971.154	34.643	88.552	626.571	690.480	472.718	0.243	33.678	32.704	3.935	2.776	12.741	40315.031	18.917
21971.354	34.584	88.514	626.502	690.540	472.827	0.235	33.725	32.674	3.907	2.788	12.723	40315.623	18.061
21971.555	34.603	88.520	626.773	690.547	472.375	0.240	33.660	32.576	3.915	2.738	12.706	40315.726	18.752
21971.755	34.642	88.509	626.634	690.597	472.954	0.242	33.621	32.560	3.897	2.743	12.736	40316.125	18.796
21971.957	34.649	88.512	626.631	690.565	472.970	0.247	33.629	32.565	3.876	2.759	12.737	40315.608	18.259
21972.157	34.589	88.478	626.882	690.339	473.456	0.243	33.609	32.539	3.924	2.757	12.731	40315.305	18.429
21972.357	34.619	88.523	626.688	690.087	473.028	0.241	33.647	32.610	3.923	2.750	12.730	40316.628	18.911
21972.557	34.519	88.487	626.237	689.939	472.645	0.245	33.685	32.650	3.939	2.757	12.740	40314.063	18.960
21972.757	34.492	88.493	625.658	689.977	473.725	0.237	33.647	32.575	3.932	2.757	12.719	40315.076	18.527
21972.957	34.552	88.504	626.096	689.824	473.623	0.238	33.586	32.544	3.880	2.763	12.708	40313.221	18.829
21973.157	34.549	88.538	626.098	689.755	472.906	0.235	33.603	32.559	3.870	2.736	12.741	40311.765	18.450
21973.357	34.515	88.500	626.171	689.650	472.927	0.241	33.577	32.515	3.862	2.754	12.730	40309.023	18.516
21973.557	34.565	88.599	626.356	689.603	473.420	0.235	33.584	32.555	3.875	2.732	12.732	40303.110	18.648
21973.757	34.462	88.549	625.513	689.493	473.011	0.241	33.631	32.569	3.938	2.735	12.755	40303.073	18.187
21973.957	34.464	88.543	626.000	689.315	473.411	0.246	33.550	32.507	3.899	2.765	12.709	40303.760	18.291
21974.157	34.435	88.533	625.531	689.231	473.083	0.249	33.571	32.520	3.891	2.723	12.701	40293.930	18.116
21974.359	34.462	88.522	625.978	689.094	473.104	0.242	33.589	32.518	3.865	2.768	12.726	40291.632	18.895
21974.559	34.429	88.520	626.444	689.179	473.032	0.243	33.583	32.522	3.913	2.726	12.715	40281.454	18.450
21974.759	34.447	88.496	625.845	689.290	473.791	0.242	33.498	32.445	3.870	2.752	12.703	40258.165	18.215
21974.959	34.371	88.532	625.390	689.256	473.465	0.232	33.620	32.584	3.908	2.772	12.727	40257.242	18.494
21975.161	34.388	88.501	625.718	689.313	473.645	0.243	33.530	32.454	3.888	2.785	12.740	40255.120	18.500
21975.361	34.425	88.597	625.333	689.312	473.252	0.241	33.569	32.537	3.865	2.760	12.726	40253.369	18.648
21975.561	34.323	88.509	625.054	689.237	473.186	0.234	33.537	32.438	3.887	2.757	12.716	40254.004	18.379
21975.761	34.348	88.528	625.539	689.162	473.471	0.231	33.744	32.680	3.923	2.757	12.752	40260.582	18.220
21975.961	34.344	88.547	625.040	689.029	473.304	0.243	33.755	32.697	3.912	2.736	12.728	40256.650	18.812
21976.161	34.275	88.585	625.386	689.082	473.449	0.239	33.752	32.693	3.931	2.748	12.734	40262.800	18.149
21976.361	34.263	88.514	625.415	688.994	473.403	0.241	33.691	32.640	3.894	2.771	12.703	40263.672	18.346
21976.561	34.268	88.573	624.814	689.037	473.687	0.240	33.750	32.694	3.924	2.751	12.724	40266.295	18.297
21976.761	34.269	88.490	624.906	688.918	473.627	0.232	33.656	32.556	3.837	2.771	12.726	40276.961	18.779
21976.961	34.230	88.552	624.889	688.914	473.785	0.237	33.723	32.628	3.881	2.764	12.719	40278.276	18.006
21977.160	34.251	88.538	624.595	688.673	473.849	0.242	33.772	32.745	3.894	2.771	12.730	40293.317	18.719
21977.361	34.226	88.606	624.348	688.690	473.598	0.240	33.813	32.796	3.886	2.775	12.715	40338.505	17.666
21977.561	34.299	88.654	623.640	688.665	473.775	0.244	33.829	32.814	3.877	2.786	12.738	40334.980	18.516
21977.761	34.206	88.595	623.879	688.537	473.641	0.234	33.828	32.750	3.866	2.804	12.726	40347.101	18.138
21977.961	34.187	88.637	623.450	688.439	473.541	0.233	33.805	32.791	3.945	2.766	12.734	40348.986	18.050
21978.161	34.184	88.611	622.517	688.401	473.831	0.238	33.877	32.859	3.950	2.770	12.724	40348.601	18.072
21978.361	34.147	88.646	623.140	688.463	473.510	0.236	34.105	33.029	3.966	2.745	12.722	40386.524	18.505
21978.561	34.141	88.615	623.572	688.654	474.383	0.240	33.930	32.898	3.934	2.778	12.707	40388.801	18.248
21978.761	34.189	88.701	623.277	688.766	473.993	0.234	33.948	32.833	3.919	2.803	12.721	40396.073	18.319
21978.961	34.188	88.678	623.880	688.923	474.147	0.240	33.902	32.843	3.911	2.775	12.733	40400.656	18.719
21979.161	34.166	88.652	623.501	688.968	473.950	0.247	33.887	32.786	3.909	2.774	12.731	40401.328	18.922
21979.361	34.172	88.695	623.829	688.922	474.485	0.245	33.967	32.961	3.916	2.797	12.731	40458.084	18.790
21979.561	34.083	88.662	623.861	688.822	473.796	0.242	33.927	32.847	3.954	2.763	12.719	40463.058	18.297
21979.761	34.159	88.671	623.575	688.716	473.840	0.244	33.944	32.867	3.925	2.777	12.704	40462.585	18.193
21979.961	34.087	88.717	623.336	688.557	474.175	0.241	33.885	32.794	3.934	2.801	12.711	40460.301	19.213
21980.161	34.103	88.619	623.252	688.312	474.339	0.241	33.929	32.859	3.935	2.780	12.731	40461.350	19.125
21980.361	34.130	88.746	622.825	688.215	474.328	0.243	33.958	32.958	3.921	2.775	12.715	40459.259	18.549
21980.561	34.083	88.634	623.026	687.975	473.823	0.241	33.842	32.768	3.905	2.765	12.713	40457.145	18.933
21980.761	34.121	88.784	622.798	687.858	474.072	0.240	33.929	32.901	3.921	2.754	12.728	40459.835	18.829
21980.961	34.111	88.811	622.768	687.739	474.688	0.241	33.904	32.882	3.942	2.785	12.729	40453.619	18.960
21981.161	34.057	88.741	622.474	687.817	474.406	0.238	33.929	32.878	3.945	2.768	12.730	40453.945	18.522
21981.361	34.104	88.774	622.764	687.830	474.236	0.237	33.922	32.866	3.905	2.800	12.721	40450.308	19.251
21981.561	34.103	88.751	622.434	687.627	474.320	0.240	33.892	32.799	3.937	2.762	12.732	40446.672	18.900
21981.761	34.078	88.763	622.734	687.635	474.546	0.241	33.932	32.841	3.932	2.784	12.734	40449.384	18.845
21981.963	34.068	88.781	622.899	687.586	474.807	0.234	33.868	32.851	3.894	2.767	12.722	40445.356	18.450
21982.163	34.065	88.802	622.676	687.463	474.367	0.239	33.923	32.848	3.921	2.772	12.735	40442.511	18.494
21982.365	34.011	88.767	622.716	687.342	474.796	0.235	33.984	32.939	3.905	2.800	12.717	40443.634	18.500
21982.565	33.969	88.744	622.449	687.188	474.378	0.232	33.971	32.912	3.925	2.787	12.733	40439.030	18.330
21982.765	33.958	88.741	623.344	686.995	474.947	0.236	33.924	32.907	3.916	2.788	12.717	40441.077	18.533
21982.967	33.939	88.734	622.722	686.802	474.287	0.233	33.976	32.935	3.932	2.776	12.727	40438.158	18.549
21983.167	33.911	88.679	622.378	686.576	474.818	0.245	33.808	32.731	3.895	2.753	12.720	40435.268	18.549
21983.369	33.897	88.677	622.672	686.440	474.418	0.242	33.877	32.828	3.918	2.766	12.726	40433.738	18.851
21983.571	33.886	88.777	622.671	686.405	474.657	0.241	33.833	32.801	3.909	2.798	12.729	40416.354	18.440
21983.771	33.923	88.692	622.914	686.290	474.748	0.241	33.826	32.772	3.919	2.743	12.743	40417.411	19.010
21983.971	33.856	88.778	621.849	686.309	474.585	0.227	33.995	32.916	3.961	2.768	12.728	40412.681	18.615
21984.171	33.920	88.741	622.370	686.344	474.771	0.238	33.926	32.853	3.903	2.792	12.706	40411.498	18.648
21984.371	33.887	88.738	622.209	686.344	474.415	0.236	33.947	32.841	3.891	2.772	12.716	40414.336	18.511
21984.571	33.887	88.826	621.488	686.253	474.613	0.239	33.905	32.838	3.924	2.773	12.721	40416.731	19.081
21984.771	33.888	88.843	622.033	686.191	474.700	0.238	33.844	32.786	3.908	2.786	12.711	40414.285	18.697
21984.971	33.809	88.802	621.665	686.257	474.588	0.239	33.836	32.808	3.907	2.778	12.737	40416.384	18.242
21985.171	33.878	88.753	621.821	686.202	474.973	0.243	33.832	32.725	3.899	2.784	12.731	40416.517	18.670
21985.371	33.775	88.757	621.371	686.295	474.507	0.237	33.954	32.872	3.932	2.771	12.733	40417.862	18.516
21985.571	33.789	88.803	621.694	686.358	474.792	0.236	33.943	32.898	3.955	2.779	12.731	40413.753	18.374
21985.771	33.817	88.803	621.757	686.373	474.983	0.240	33.899	32.840	3.939	2.796	12.713	40412.082	18.845
21985.971	33.753	88.784	621.583	686.361	475.386	0.237	33.940	32.866	3.956	2.793	12.733	40412.467	18.911
21986.171	33.745	88.814	621.492	686.281	475.343	0.243	33.910	32.867	3.931	2.792	12.725	40414.211	18.429
21986.371	33.792	88.823	621.851	686.222	473.886	0.241	33.825	32.796	3.879	2.754	12.714	40415.571	18.193
21986.571	33.827	88.839	621.460	686.211	474.954	0.244	33.882	32.791	3.907	2.787	12.727	40413.693	18.363
21986.771	33.749	88.842	621.254	686.148	474.629	0.252	33.873	32.752	3.894	2.770	12.717	40412.622	18.111
21986.971	33.795	88.842	621.124	686.135	474.675	0.240	33.877	32.836	3.912	2.763	12.699	40412.540	18.017
21987.171	33.738	88.838	620.632	686.073	475.002	0.238	33.912	32.857	3.899	2.782	12.706	40407.685	18.198
21987.371	33.791	88.850	621.576	686.010	474.904	0.240	33.864	32.810	3.911	2.769	12.723	40406.347	18.796
21987.571	33.763	88.836	621.207	686.100	474.371	0.240	33.879	32.847	3.915	2.786	12.719	40408.675	18.324
21987.772	33.825	88.846	621.306	686.047	475.156	0.230	33.954	32.908	3.908	2.769	12.714	40408.209	18.829
21987.972	33.777	88.883	620.901	686.062	475.178	0.237	33.939	32.964	3.945	2.790	12.721	40408.860	18.741
21988.172	33.804	88.919	621.157	685.951	474.743	0.248	33.850	32.787	3.938	2.773	12.725	40407.263	18.456
21988.372	33.772	88.950	621.402	685.836	474.722	0.239	33.878	32.887	3.893	2.761	12.742	40410.545	18.379
21988.572	33.763	88.887	620.840	685.655	474.387	0.236	33.879	32.839	3.913	2.768	12.736	40408.202	18.999
21988.772	33.704	88.957	621.279	685.653	475.139	0.238	33.831	32.830	3.915	2.774	12.697	40409.732	18.352
21988.972	33.736	88.902	621.263	685.647	474.074	0.240	33.786	32.681	3.897	2.778	12.704	40408.461	18.659
21989.172	33.723	88.869	621.410	685.519	474.687	0.244	33.960	32.904	3.959	2.754	12.721	40404.654	19.065
21989.374	33.663	88.817	621.107	685.464	474.576	0.240	33.818	32.786	3.891	2.806	12.724	40402.467	19.015
21989.574	33.701	88.909	621.074	685.424	474.365	0.242	33.933	32.849	3.887	2.776	12.723	40404.854	18.538
21989.774	33.715	88.831	620.824	685.360	474.525	0.241	33.889	32.850	3.923	2.785	12.695	40403.110	19.339
21989.974	33.729	88.941	620.658	685.324	474.741	0.237	33.964	32.911	3.966	2.761	12.697	40404.654	19.037
21990.176	33.684	88.873	620.933	685.166	475.263	0.242	33.879	32.774	3.901	2.749	12.688	40403.952	19.037
21990.378	33.636	88.847	620.740	685.074	474.920	0.236	33.789	32.723	3.892	2.758	12.702	40406.546	18.089
21990.579	33.634	88.835	620.065	684.795	475.066	0.245	33.918	32.795	3.892	2.795	12.716	40407.596	18.034
21990.781	33.665	88.887	619.807	684.558	475.058	0.239	33.916	32.918	3.918	2.778	12.694	40404.787	18.900
21990.981	33.616	88.928	619.987	684.415	474.925	0.244	33.895	32.824	3.924	2.804	12.713	40406.945	18.138
21991.181	33.555	88.845	619.759	684.325	474.613	0.244	33.939	32.870	3.971	2.774	12.724	40406.554	18.341
21991.381	33.611	88.901	619.334	684.371	474.969	0.247	34.003	32.993	3.911	2.744	12.695	40409.170	18.615
21991.581	33.529	88.884	620.066	684.453	474.576	0.238	33.865	32.820	3.931	2.771	12.717	40410.863	18.270
21991.781	33.582	88.924	619.595	684.388	475.506	0.234	33.957	32.857	3.930	2.779	12.698	40410.220	18.604
21991.981	33.590	88.941	619.469	684.449	475.124	0.239	33.943	32.875	3.946	2.780	12.726	40415.179	18.335
21992.181	33.586	88.910	619.480	684.550	475.000	0.247	33.865	32.790	3.879	2.781	12.708	40414.536	18.165
21992.381	33.518	88.893	619.131	684.562	474.360	0.231	33.937	32.892	3.967	2.761	12.723	40419.821	18.681
21992.581	33.541	88.940	618.913	684.605	474.504	0.242	34.037	33.019	3.947	2.759	12.721	40421.624	18.478
21992.781	33.517	88.904	618.863	684.618	474.664	0.245	33.967	32.838	3.926	2.763	12.726	40422.636	18.533
21992.981	33.570	88.984	618.704	684.710	474.543	0.246	33.921	32.870	3.925	2.778	12.712	40423.257	18.401
21993.181	33.552	88.939	618.838	684.792	474.891	0.238	33.881	32.817	3.920	2.773	12.719	40422.141	18.248
21993.381	33.571	88.961	618.943	684.936	474.789	0.243	33.900	32.836	3.888	2.775	12.701	40429.621	18.204
21993.581	33.596	88.970	619.348	684.832	474.998	0.242	33.911	32.846	3.954	2.771	12.720	40427.803	18.220
21993.781	33.590	88.980	619.448	684.850	475.268	0.244	33.856	32.827	3.917	2.766	12.731	40430.840	18.209
21993.981	33.513	88.878	619.227	684.623	474.833	0.241	33.887	32.836	3.904	2.799	12.721	40428.719	18.538
21994.181	33.564	88.937	618.971	684.650	474.519	0.245	33.922	32.912	3.949	2.765	12.720	40427.034	18.626
21994.381	33.525	88.903	618.766	684.706	474.320	0.244	33.909	32.833	3.914	2.783	12.705	40429.769	18.631
21994.580	33.534	88.958	619.317	684.736	474.803	0.245	33.896	32.815	3.924	2.776	12.712	40430.730	17.941
21994.780	33.585	88.976	618.857	684.723	475.331	0.245	33.900	32.893	3.932	2.767	12.711	40431.373	18.127
21994.980	33.573	88.933	619.110	684.629	474.527	0.241	33.881	32.842	3.944	2.751	12.725	40429.902	18.078
21995.180	33.608	89.012	619.548	684.677	474.412	0.245	33.904	32.907	3.935	2.785	12.722	40428.461	18.472
21995.380	33.536	88.951	619.393	684.778	475.449	0.249	33.821	32.707	3.923	2.790	12.719	40429.931	18.067
21995.580	33.590	89.053	620.052	684.761	474.971	0.250	33.895	32.812	3.923	2.813	12.721	40429.865	18.812
21995.780	33.588	89.030	620.064	684.729	475.081	0.251	33.803	32.758	3.913	2.753	12.697	40430.323	18.023
21995.980	33.595	89.040	619.449	684.564	474.862	0.253	33.808	32.725	3.899	2.777	12.699	40426.820	18.105
21996.182	33.597	88.991	619.655	684.387	475.446	0.245	33.731	32.720	3.879	2.755	12.717	40424.839	18.796
21996.382	33.555	89.031	619.754	684.242	474.829	0.248	33.857	32.784	3.869	2.755	12.719	40424.107	18.829
