MiniLab	10-Dec-12	5:23:55 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
16713.935	25.684	131.847	593.510	579.224	598.826	0.658	90.132	89.551	9.717	0.803	18.932	59847.278	14.141
16714.137	25.681	131.832	592.679	579.126	599.191	0.656	90.088	89.520	9.680	0.801	18.914	59847.322	14.783
16714.337	25.696	131.892	593.308	579.163	599.432	0.645	90.029	89.514	9.618	0.798	18.909	59843.863	14.448
16714.537	25.691	131.835	593.238	579.162	599.493	0.650	90.082	89.473	9.747	0.802	18.926	59843.671	14.212
16714.737	25.688	131.892	593.066	579.157	598.969	0.646	90.111	89.512	9.668	0.809	18.914	59843.050	14.607
16714.938	25.691	131.846	593.733	579.172	599.183	0.646	90.096	89.538	9.818	0.808	18.920	59840.256	14.832
16715.138	25.660	131.913	593.490	579.144	598.806	0.652	90.147	89.621	9.681	0.800	18.932	59839.325	14.454
16715.339	25.673	131.950	593.453	579.190	599.402	0.646	90.113	89.518	9.702	0.798	18.920	59841.579	14.607
16715.539	25.667	131.994	592.891	579.094	599.405	0.650	90.107	89.532	9.686	0.799	18.924	59841.298	14.509
16715.739	25.673	131.906	593.950	579.091	599.656	0.652	90.094	89.583	9.697	0.811	18.920	59841.010	14.772
16715.940	25.689	131.985	593.620	579.144	599.328	0.657	90.047	89.511	9.778	0.811	18.916	59841.446	14.607
16716.141	25.679	132.023	594.110	579.074	599.358	0.654	90.161	89.620	9.613	0.809	18.915	59840.604	14.382
16716.341	25.689	132.072	593.470	579.100	599.157	0.656	90.068	89.523	9.688	0.801	18.913	59843.161	14.498
16716.541	25.737	132.107	593.574	579.123	599.252	0.654	90.097	89.524	9.752	0.824	18.907	59844.188	14.339
16716.741	25.697	132.087	593.624	579.130	599.069	0.650	90.170	89.534	9.713	0.786	18.926	59841.542	14.552
16716.941	25.724	132.102	593.523	579.183	599.500	0.653	90.067	89.590	9.632	0.811	18.926	59842.984	14.311
16717.141	25.736	132.099	594.411	579.144	599.015	0.646	90.155	89.626	9.597	0.820	18.911	59843.264	14.975
16717.350	25.736	132.123	594.364	579.177	599.317	0.650	90.147	89.637	9.755	0.807	18.918	59841.653	14.925
16717.550	25.747	132.108	594.385	579.216	599.721	0.654	90.029	89.600	9.702	0.802	18.919	59845.275	14.640
16717.753	25.730	132.195	594.368	579.280	598.999	0.652	90.249	89.697	9.752	0.796	18.910	59846.213	14.892
16717.953	25.744	132.170	594.675	579.269	599.545	0.651	90.136	89.525	9.657	0.813	18.927	59845.644	15.353
16718.153	25.775	132.208	593.938	579.309	599.668	0.654	90.130	89.610	9.741	0.806	18.920	59845.689	15.528
16718.354	25.738	132.164	594.398	579.241	599.300	0.655	90.138	89.583	9.622	0.805	18.912	59846.435	14.991
16718.554	25.776	132.214	594.308	579.260	599.631	0.652	90.213	89.607	9.687	0.811	18.925	59846.184	15.227
16718.755	25.801	132.201	593.793	579.326	599.193	0.651	90.185	89.567	9.757	0.811	18.914	59845.881	14.613
16718.956	25.795	132.285	594.538	579.352	599.275	0.655	90.048	89.498	9.684	0.803	18.915	59844.417	14.465
16719.156	25.771	132.238	594.927	579.472	599.858	0.652	90.097	89.611	9.663	0.791	18.920	59845.075	15.057
16719.356	25.776	132.255	594.235	579.566	599.883	0.659	90.167	89.652	9.745	0.806	18.918	59843.907	15.205
