MiniLab	10-Dec-12	5:30:11 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17088.604	31.029	160.336	643.022	606.231	614.752	0.919	114.307	113.931	12.083	0.926	22.142	64999.420	10.786
17088.804	31.049	160.251	642.891	606.447	614.739	0.952	114.323	113.893	12.061	0.943	22.126	64999.316	10.550
17089.004	31.069	160.278	642.773	606.469	615.122	0.809	114.380	113.905	12.088	0.933	22.144	64996.574	10.462
17089.232	31.063	160.274	642.867	606.420	614.870	0.874	114.276	113.893	12.099	0.938	22.137	64994.682	10.720
17089.432	31.091	160.345	642.927	606.399	614.438	0.973	114.287	113.939	12.193	0.950	22.136	64996.404	10.259
17089.632	31.046	160.250	642.514	606.189	614.787	0.843	114.258	113.862	12.108	0.953	22.136	64997.513	10.407
17089.832	31.099	160.353	643.440	606.132	615.120	0.884	114.312	113.959	12.107	0.935	22.139	64996.981	10.495
17090.032	31.123	160.350	642.984	606.056	614.735	0.767	114.344	113.924	12.118	0.938	22.130	64996.707	10.676
17090.233	31.093	160.392	642.462	605.879	615.013	0.977	114.256	113.902	12.030	0.939	22.128	64998.488	10.314
17090.433	31.112	160.331	642.607	605.722	614.820	0.894	114.423	114.020	12.088	0.941	22.134	64995.081	10.429
17090.632	31.115	160.431	642.962	605.779	615.011	0.930	114.323	113.965	12.036	0.949	22.131	64996.559	10.808
17090.832	31.119	160.375	642.485	605.711	613.991	0.888	114.360	113.968	12.039	0.950	22.126	64995.436	10.961
17091.032	31.103	160.400	642.916	605.637	614.612	0.873	114.419	113.947	12.013	0.929	22.141	64999.560	10.029
17091.232	31.119	160.398	642.522	605.654	614.751	0.933	114.426	114.114	12.065	0.947	22.139	64999.427	10.462
17091.455	31.164	160.400	642.964	605.583	614.888	0.900	114.381	113.984	12.138	0.948	22.131	64998.392	10.396
17091.655	31.133	160.395	642.386	605.531	614.604	0.978	114.294	113.859	12.033	0.928	22.142	64997.409	10.314
17091.855	31.118	160.384	642.467	605.490	614.526	0.970	114.295	113.908	12.086	0.928	22.126	64998.799	10.703
17092.056	31.131	160.479	643.080	605.550	614.569	0.830	114.244	113.879	12.085	0.939	22.125	64998.496	10.150
17092.256	31.185	160.480	642.737	605.643	614.463	0.823	114.314	113.903	11.933	0.945	22.141	64999.390	10.566
17092.456	31.175	160.459	642.862	605.704	614.477	0.748	114.259	113.980	12.015	0.933	22.129	64999.006	10.638
17092.656	31.177	160.423	642.626	605.701	614.360	0.903	114.361	113.959	12.112	0.936	22.126	64994.615	10.265
17092.857	31.148	160.371	642.294	605.635	614.007	0.890	114.355	113.904	12.030	0.923	22.149	64996.944	10.210
17093.058	31.124	160.406	642.563	605.662	614.447	0.837	114.370	113.957	12.025	0.950	22.138	64997.424	10.342
17093.259	31.138	160.461	642.784	605.624	614.175	0.961	114.435	114.011	12.092	0.947	22.128	64998.836	10.133
17093.459	31.177	160.442	642.321	605.756	614.386	0.919	114.302	113.962	12.069	0.946	22.143	64998.200	10.484
