MiniLab	10-Dec-12	5:32:36 AM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17230.324	34.572	165.310	642.441	602.125	612.162	0.894	114.478	114.051	12.147	0.984	22.138	65101.534	4.376
17230.523	34.600	165.213	642.857	602.236	612.771	0.931	114.425	114.069	12.157	0.982	22.126	65102.206	4.541
17230.725	34.586	165.239	643.146	602.442	612.294	0.941	114.328	113.907	12.066	0.980	22.136	65100.846	4.634
17230.935	34.619	165.296	642.675	602.650	612.822	0.719	114.377	114.000	12.167	0.976	22.135	65101.038	4.173
17231.135	34.659	165.356	642.832	602.793	612.248	0.911	114.425	114.013	12.210	0.975	22.124	65102.258	4.239
17231.336	34.651	165.265	643.025	602.723	612.063	0.835	114.457	114.010	12.236	0.957	22.134	65101.534	4.459
17231.536	34.613	165.297	642.626	602.767	612.400	0.852	114.421	113.941	12.196	0.974	22.127	65101.438	4.130
17231.736	34.651	165.230	643.221	602.749	612.881	0.892	114.432	113.982	12.209	0.979	22.118	65101.844	4.431
17231.936	34.634	165.266	643.094	602.678	612.486	0.898	114.410	113.944	12.211	0.975	22.135	65100.477	4.557
17232.136	34.608	165.262	642.860	602.607	612.306	0.933	114.432	113.972	12.177	0.978	22.134	65102.295	4.513
17232.336	34.662	165.445	642.154	602.551	612.362	0.956	114.398	114.074	12.206	0.987	22.123	65100.883	4.502
17232.536	34.643	165.333	642.623	602.433	612.494	0.851	114.373	114.056	12.132	0.983	22.130	65101.371	4.157
