MiniLab	20-Oct-15	4:43:35 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
22574.887	36.233	172.079	756.068	710.272	493.209	1.106	131.023	129.766	13.955	10.219	25.271	69917.288	64.265
22575.087	36.201	172.103	756.349	710.229	493.356	1.048	131.157	129.854	13.903	10.259	25.267	69915.618	64.270
22575.287	36.247	172.163	756.225	710.389	493.475	1.041	131.167	129.980	13.926	10.303	25.262	69917.931	64.402
22575.487	36.248	172.194	755.954	710.397	493.411	1.055	131.098	129.821	13.832	10.321	25.265	69917.199	64.638
22575.687	36.258	172.284	756.379	710.341	493.217	1.057	131.043	129.904	13.893	10.332	25.264	69917.347	64.561
22575.887	36.235	172.240	756.854	710.162	493.169	1.076	131.089	129.807	13.850	10.324	25.274	69914.583	64.402
22576.087	36.143	172.301	756.233	710.010	493.522	1.065	131.034	129.931	13.925	10.291	25.273	69916.482	64.144
22576.287	36.169	172.304	755.415	709.895	493.460	1.029	131.192	129.960	13.883	10.291	25.268	69916.017	64.155
22576.487	36.188	172.345	755.444	709.668	493.821	1.103	131.096	129.993	13.999	10.310	25.282	69909.232	64.172
22576.687	36.261	172.420	756.249	709.529	493.636	1.082	131.093	129.876	13.869	10.256	25.278	69907.783	64.051
22576.887	36.238	172.419	755.122	709.264	493.625	1.048	130.957	129.834	13.885	10.291	25.283	69909.786	63.793
22577.087	36.224	172.392	755.438	709.156	493.548	1.050	130.980	129.858	13.853	10.231	25.281	69909.949	64.205
22577.287	36.222	172.431	755.578	709.003	493.803	1.055	131.085	129.918	13.913	10.302	25.298	69908.663	64.106
22577.487	36.172	172.465	755.492	708.867	493.980	1.076	131.162	129.925	13.916	10.261	25.288	69905.130	64.298
22577.687	36.148	172.483	755.578	708.751	493.727	1.060	131.079	129.844	13.883	10.220	25.291	69904.553	64.533
22577.887	36.165	172.499	755.459	708.730	493.901	1.090	131.199	129.993	13.958	10.321	25.279	69905.115	65.021
22578.087	36.132	172.533	755.799	708.619	493.599	1.101	131.060	129.863	13.966	10.254	25.280	69904.694	64.226
22578.287	36.062	172.517	755.541	708.556	493.881	1.079	131.054	129.788	13.888	10.256	25.282	69905.817	64.199
22578.487	36.062	172.518	755.569	708.421	494.000	1.072	131.053	129.820	13.833	10.267	25.267	69904.391	64.276
22578.687	36.082	172.620	755.346	708.420	493.869	1.084	131.128	129.889	13.807	10.281	25.271	69906.327	64.133
22578.887	36.061	172.479	755.091	708.230	494.195	1.084	131.277	130.086	13.915	10.250	25.259	69904.746	64.325
22579.087	36.043	172.614	754.469	708.333	494.177	1.087	131.381	130.210	13.948	10.250	25.271	69904.590	64.862
22579.287	36.090	172.590	755.358	708.409	494.140	1.044	131.529	130.374	13.884	10.281	25.255	69905.337	64.402
