MiniLab	20-Oct-15	3:19:36 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	T5 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	P5 (kPa)	Fuel Flow  (L/hr)	N1 (RPM)	Thrust (N)
17541.375	31.715	93.824	603.239	661.237	474.442	0.334	43.633	42.641	4.875	3.505	14.150	44993.823	22.645
17541.575	31.727	93.831	603.098	661.228	475.210	0.331	43.607	42.653	4.871	3.509	14.132	44992.899	22.382
17541.777	31.693	93.857	603.132	661.236	474.808	0.330	43.708	42.740	4.881	3.484	14.160	44996.506	21.477
17541.977	31.696	93.896	603.284	661.173	474.607	0.324	43.714	42.706	4.855	3.530	14.148	44995.811	22.102
17542.177	31.679	93.896	602.662	661.210	474.902	0.333	43.705	42.714	4.896	3.499	14.162	44995.863	21.828
17542.377	31.699	93.911	602.853	661.210	474.901	0.330	43.679	42.691	4.891	3.506	14.129	45002.301	21.609
17542.577	31.729	93.909	603.101	661.087	474.633	0.337	43.640	42.654	4.864	3.502	14.136	45001.015	22.524
17542.777	31.700	93.856	603.458	660.940	474.673	0.342	43.567	42.610	4.883	3.514	14.122	44999.233	22.519
17542.977	31.672	93.949	603.091	660.913	474.800	0.329	43.607	42.594	4.869	3.493	14.143	45003.173	21.806
17543.177	31.739	93.947	603.143	660.760	474.954	0.352	43.581	42.645	4.860	3.488	14.141	44999.906	22.305
17543.377	31.691	93.929	602.920	660.677	474.200	0.348	43.593	42.616	4.871	3.514	14.152	45003.646	22.519
17543.577	31.634	93.905	603.721	660.559	474.491	0.332	43.626	42.616	4.867	3.524	14.152	45002.714	22.491
17543.777	31.642	93.912	602.227	660.521	474.299	0.331	43.613	42.661	4.873	3.512	14.149	45001.554	22.442
17543.979	31.653	94.060	603.246	660.505	474.769	0.320	43.667	42.625	4.940	3.487	14.130	45001.990	22.239
17544.181	31.667	93.968	603.102	660.474	473.849	0.334	43.528	42.539	4.885	3.487	14.127	45001.421	22.135
17544.382	31.611	93.967	603.314	660.498	474.480	0.337	43.584	42.590	4.873	3.507	14.164	44996.691	21.959
17544.582	31.639	94.059	602.715	660.538	473.882	0.333	43.619	42.646	4.888	3.498	14.119	44996.277	21.910
17544.782	31.617	94.025	602.879	660.610	474.009	0.318	43.640	42.626	4.929	3.511	14.123	44998.139	22.113
17544.982	31.663	94.041	603.062	660.538	474.055	0.334	43.643	42.638	4.913	3.525	14.138	44993.956	22.261
17545.184	31.647	94.094	602.587	660.670	474.072	0.324	43.736	42.735	4.895	3.473	14.154	44996.166	22.245
17545.384	31.597	94.038	603.334	660.742	473.623	0.327	43.685	42.797	4.897	3.506	14.147	44996.853	21.872
17545.584	31.647	94.068	603.144	660.743	474.165	0.331	43.631	42.626	4.901	3.488	14.151	44993.786	22.108
17545.784	31.597	94.028	603.111	660.680	473.686	0.316	43.635	42.653	4.836	3.516	14.140	44993.151	22.447
17545.986	31.587	94.025	602.760	660.599	473.917	0.304	43.600	42.636	4.868	3.500	14.124	44992.655	21.740
17546.186	31.667	94.124	603.308	660.429	473.558	0.313	43.541	42.539	4.874	3.518	14.129	44993.335	21.833
17546.388	31.648	94.048	602.657	660.360	474.192	0.320	43.603	42.579	4.905	3.481	14.151	44987.799	22.343
17546.588	31.675	94.187	603.469	660.349	473.671	0.328	43.569	42.563	4.859	3.493	14.129	44987.179	22.168
17546.788	31.699	94.098	603.433	660.361	474.175	0.323	43.520	42.523	4.839	3.517	14.148	44983.616	22.250
17546.990	31.631	94.072	603.152	660.423	473.390	0.336	43.579	42.542	4.872	3.500	14.156	44975.131	22.064
17547.192	31.689	94.137	603.290	660.481	473.850	0.323	43.588	42.609	4.859	3.524	14.156	44976.447	21.784
17547.392	31.663	94.135	603.296	660.612	473.395	0.321	43.609	42.615	4.864	3.507	14.152	44974.851	21.855
17547.594	31.700	94.213	603.322	660.635	474.096	0.321	43.564	42.529	4.877	3.506	14.145	44945.819	21.877
17547.796	31.721	94.219	602.844	660.695	472.894	0.323	43.462	42.447	4.862	3.515	14.154	44946.373	22.157
17547.996	31.595	94.084	603.646	660.611	473.947	0.324	43.429	42.485	4.866	3.535	14.132	44944.725	22.245
17548.196	31.659	94.145	603.246	660.557	473.290	0.335	43.487	42.497	4.878	3.494	14.147	44945.804	21.620
17548.396	31.617	94.159	603.329	660.508	473.842	0.319	43.488	42.545	4.868	3.500	14.127	44943.602	22.162
17548.596	31.633	94.047	603.002	660.585	472.851	0.321	43.453	42.447	4.870	3.477	14.134	44939.950	22.206
17548.796	31.566	94.089	603.844	660.710	473.752	0.314	43.471	42.512	4.864	3.509	14.127	44943.047	21.861
